,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Yaan,NG,7.3833,8.5667,95.99,13,60,8.3,broken clouds
302,Kailua,US,21.4022,-157.7394,75.18,79,0,1.99,clear sky
303,Marzuq,YE,14.4,46.4667,74.62,34,8,6.71,clear sky
304,Oranjemund,NA,-28.55,16.4333,67.33,66,0,11.79,clear sky
305,Hastings,GB,50.8552,0.5729,55.98,60,14,25.86,few clouds
306,Usinsk,RU,65.9939,57.5281,2.23,97,99,10.56,light snow
307,Astoria,US,46.1879,-123.8313,45.86,93,69,1.01,broken clouds
308,Orange,US,33.7,-117.7675,58.08,41,0,0.0,clear sky
309,Nouakchott,MR,18.0858,-15.9785,85.93,23,0,13.76,clear sky
310,Pangnirtung,CA,66.1451,-65.7125,5.0,85,75,2.3,broken clouds
311,Gamba,GA,-2.65,10.0,82.56,73,48,8.23,light rain
312,Baft,IR,29.234,56.6057,53.53,35,71,7.7,broken clouds
313,Shetpe,KZ,44.1667,52.1167,48.61,75,0,9.89,clear sky
314,Chulym,RU,55.0997,80.9572,-8.64,97,9,6.2,clear sky
315,Pallasovka,RU,50.05,46.8833,41.92,65,97,16.87,overcast clouds
316,Ostrovnoy,RU,68.0531,39.5131,33.08,80,100,2.77,overcast clouds
317,Solnechnyy,RU,50.7214,136.6319,11.64,87,5,2.19,clear sky
318,Ixtapa,MX,20.7,-105.2,70.23,94,0,4.61,clear sky
319,Lengshuijiang,CN,27.6881,111.4294,59.92,80,100,3.0,overcast clouds
320,Alibag,IN,18.6411,72.8792,84.27,67,69,8.19,broken clouds
321,Matara,LK,5.9485,80.5353,77.79,79,72,9.62,broken clouds
322,Uitenhage,ZA,-33.7576,25.3971,80.19,44,45,20.38,scattered clouds
323,Gejiu,CN,23.306,103.1635,50.54,86,8,2.53,clear sky
324,Dunedin,NZ,-45.8742,170.5036,53.8,56,99,11.01,overcast clouds
325,Perigueux,FR,45.1833,0.7167,58.41,73,11,14.47,few clouds
326,Queimadas,BR,-10.9783,-39.6264,88.36,40,22,6.29,few clouds
327,Cheney,US,47.4874,-117.5758,28.31,93,100,9.22,mist
328,Nanortalik,GL,60.1432,-45.2371,34.43,82,100,3.69,overcast clouds
329,Camabatela,AO,-8.1881,15.375,70.74,87,90,4.99,moderate rain
330,Kyrylivka,UA,46.3759,35.3675,47.7,82,100,12.97,overcast clouds
331,Chimbote,PE,-9.0853,-78.5783,68.02,77,7,5.73,clear sky
332,Luanda,AO,-8.8368,13.2343,81.39,64,95,11.97,overcast clouds
333,Staunton,US,38.1496,-79.0717,46.09,76,0,0.0,clear sky
334,Bure,ET,10.7,37.0667,63.45,65,98,4.54,overcast clouds
335,Grootfontein,NA,-19.5667,18.1167,87.08,22,100,5.93,overcast clouds
336,Fairbanks,US,64.8378,-147.7164,15.76,86,100,3.44,overcast clouds
337,Hobyo,SO,5.3505,48.5268,81.59,63,1,14.61,clear sky
338,Krasnoarmeysk,RU,51.0239,45.6969,33.8,95,100,16.53,light snow
339,Ninghai,CN,29.2892,121.4247,58.28,87,66,4.05,broken clouds
340,Tuatapere,NZ,-46.1333,167.6833,42.87,94,100,5.66,overcast clouds
341,Ayagoz,KZ,47.9714,80.4392,-1.68,99,24,5.17,few clouds
342,Vaitape,PF,-16.5167,-151.75,79.43,75,6,5.35,light rain
343,Opuwo,NA,-18.0607,13.84,92.77,19,100,0.85,overcast clouds
344,Zheleznodorozhnyy,RU,55.7503,38.0042,34.32,97,100,7.7,snow
345,Belmonte,BR,-15.8631,-38.8828,79.34,73,97,3.06,overcast clouds
346,Jinchang,CN,38.4953,102.1739,39.09,31,0,1.88,clear sky
347,Forbes,AU,-33.3833,148.0167,58.91,75,0,4.03,clear sky
348,Abha,SA,18.2164,42.5053,66.02,55,40,13.8,scattered clouds
349,Ariquemes,BR,-9.9133,-63.0408,76.51,85,99,1.74,overcast clouds
350,Lydenburg,ZA,-25.0978,30.4597,64.17,87,100,1.21,light rain
351,Redding,US,40.5865,-122.3917,49.66,79,0,4.61,clear sky
