,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
352,Rabaul,PG,-4.1967,152.1721,81.93,73,99,5.03,overcast clouds
353,Acapulco,MX,16.8634,-99.8901,75.02,94,40,2.3,scattered clouds
354,Dombarovskiy,RU,50.7587,59.5386,27.09,95,100,16.78,snow
355,Lesosibirsk,RU,58.2358,92.4828,-0.4,92,100,10.18,overcast clouds
356,Waddan,LY,29.1614,16.139,71.55,29,0,14.5,clear sky
357,Mwingi,KE,-0.9344,38.0601,67.23,92,99,1.61,overcast clouds
358,Palmer,US,42.1584,-72.3287,43.34,93,40,0.0,scattered clouds
359,Harper,LR,4.375,-7.7169,83.7,68,100,8.75,overcast clouds
360,Itarema,BR,-2.9248,-39.9167,85.28,58,100,17.11,overcast clouds
361,Warwick,US,41.7001,-71.4162,46.45,58,20,9.22,few clouds
362,Oskemen,KZ,49.9565,82.6119,4.96,77,100,4.47,overcast clouds
363,Ornskoldsvik,SE,63.2909,18.7153,22.15,100,100,8.05,overcast clouds
364,Sinjar,IQ,36.3209,41.8754,64.38,30,0,4.88,clear sky
365,Auki,SB,-8.7676,160.7034,77.56,87,56,4.05,broken clouds
366,Alice,US,27.7523,-98.0697,53.55,94,100,5.75,overcast clouds
367,Awbari,LY,26.5921,12.7805,71.49,22,0,10.71,clear sky
368,Bandar,ID,2.05,99.75,73.83,97,86,2.77,overcast clouds
369,Kirs,RU,59.3388,52.2447,18.5,92,100,8.14,light snow
370,Lavrentiya,RU,65.5833,-171.0,9.32,81,13,10.8,few clouds
371,Mega,ET,4.05,38.3,72.5,35,94,16.06,overcast clouds
372,Wawa,NG,9.9022,4.4192,94.35,15,0,4.7,clear sky
373,Halifax,CA,44.6453,-63.5724,38.44,88,100,13.8,overcast clouds
374,Palu,ID,-0.8917,119.8707,77.25,94,100,2.3,overcast clouds
375,Ouargaye,BF,11.5033,0.0572,95.4,11,78,8.93,broken clouds
376,Tigil,RU,57.8,158.6667,20.73,89,100,14.03,overcast clouds
377,Lujiang,CN,31.2581,117.2817,57.76,76,93,4.36,overcast clouds
378,Chongwe,ZM,-15.3292,28.682,68.34,86,98,4.81,moderate rain
379,Touba,CI,8.2833,-7.6833,89.47,24,83,6.4,broken clouds
380,Kurchum,KZ,48.5722,83.6542,7.41,91,32,9.4,scattered clouds
381,Mabaruma,GY,8.2,-59.7833,80.89,82,71,3.51,broken clouds
382,Thaton,MM,16.9206,97.3714,79.84,81,11,2.46,few clouds
383,Djibo,BF,14.1022,-1.6306,94.01,7,64,14.52,broken clouds
384,Antofagasta,CL,-23.65,-70.4,67.28,63,2,6.02,clear sky
385,Sabla,NG,12.7525,4.7077,94.62,8,0,13.35,clear sky
386,Constitucion,CL,-35.3333,-72.4167,69.1,55,4,14.81,clear sky
387,Severo-Yeniseyskiy,RU,60.3725,93.0408,-6.95,99,100,3.09,overcast clouds
388,Jaisalmer,IN,26.9147,70.9181,74.75,17,4,4.52,clear sky
389,Yumen,CN,40.2833,97.2,42.03,28,22,24.02,few clouds
390,Melendugno,IT,40.2747,18.3368,60.89,59,40,12.66,scattered clouds
391,Tyukhtet,RU,56.5389,89.3011,-2.16,88,100,13.18,overcast clouds
392,Sorong,ID,-0.8833,131.25,82.27,74,100,2.93,light rain
393,Selfoss,IS,63.9331,-20.9971,41.04,53,100,33.04,overcast clouds
394,Qujing,CN,25.4833,103.7833,52.27,82,18,4.72,few clouds
395,Nemuro,JP,43.3236,145.575,45.73,70,100,15.99,overcast clouds
396,Stettler,CA,52.3168,-112.7186,33.55,100,100,9.22,overcast clouds
397,Dimbokro,CI,6.6451,-4.7048,93.22,39,51,3.09,broken clouds
398,Freeport,US,40.6576,-73.5832,48.78,60,20,6.91,few clouds
399,Pirapora,BR,-17.345,-44.9419,81.99,60,95,8.23,overcast clouds
400,Linxia,CN,35.6003,103.2064,42.78,28,0,4.94,clear sky
401,Tokonou,GN,9.65,-9.7833,88.12,19,91,5.66,overcast clouds
402,Acari,PE,-15.4311,-74.6158,75.58,62,86,6.4,overcast clouds
403,Sovetskiy,RU,61.3614,63.5842,1.08,93,6,6.11,clear sky
404,Pitimbu,BR,-7.4706,-34.8086,84.79,59,88,9.64,overcast clouds
405,Viesca,MX,25.35,-102.8,59.16,70,7,1.14,clear sky
406,Paracuru,BR,-3.41,-39.0306,81.1,60,91,14.88,overcast clouds
407,Lasa,IT,46.6166,10.7002,45.01,80,2,2.44,clear sky
408,Dukat,RU,62.55,155.55,-20.7,95,100,6.98,overcast clouds
409,Mkushi,ZM,-13.6202,29.3939,79.29,50,99,4.81,overcast clouds
410,Mitsamiouli,KM,-11.3847,43.2844,88.09,62,20,11.5,few clouds
411,Peniche,PT,39.3558,-9.3811,66.56,89,57,11.34,broken clouds
412,Ambulu,ID,-8.345,113.6058,76.89,89,100,1.61,moderate rain
413,Xuchang,CN,34.0167,113.8167,55.06,74,100,5.93,overcast clouds
414,Leninskoye,KZ,41.7589,69.3864,53.76,54,100,3.11,overcast clouds
415,Tabuk,PH,17.4189,121.4443,75.7,91,92,2.33,overcast clouds
416,Dakar,SN,14.6937,-17.4441,92.28,42,7,19.57,clear sky
417,Anloga,GH,5.7947,0.8973,85.32,63,11,9.04,few clouds
418,Mao,ES,39.8885,4.2658,70.36,78,20,10.36,few clouds
419,Omsukchan,RU,62.5333,155.8,-17.73,97,100,6.44,overcast clouds
420,Ancud,CL,-41.8697,-73.8203,55.24,95,100,9.31,overcast clouds
421,Americus,US,32.0724,-84.2327,54.99,71,75,6.91,broken clouds
422,Shouguang,CN,36.88,118.7375,53.35,76,100,5.82,overcast clouds
423,Pocone,BR,-16.2567,-56.6228,87.75,51,100,5.68,overcast clouds
424,Loandjili,CG,-4.7561,11.8578,82.08,73,42,9.37,light rain
425,Baykit,RU,61.67,96.37,-6.86,96,100,4.68,overcast clouds
426,Zig,US,40.127,-92.7663,37.69,95,0,5.75,clear sky
427,Meiganga,CM,6.5167,14.3,88.34,20,11,9.08,few clouds
428,Adrar,MR,20.5022,-10.0711,81.12,8,0,12.75,clear sky
429,Ayr,GB,55.4627,-4.6339,49.98,76,20,13.8,few clouds
430,Knysna,ZA,-34.0363,23.0471,70.92,68,28,9.17,scattered clouds
431,Teguise,ES,29.0605,-13.564,71.82,57,40,14.97,scattered clouds
432,Austintown,US,41.1017,-80.7645,38.75,67,20,4.61,few clouds
433,Bitung,ID,1.4451,125.1824,77.85,82,100,7.94,overcast clouds
434,Lastoursville,GA,-0.8143,12.7287,94.05,58,75,2.44,broken clouds
435,Lhokseumawe,ID,5.1801,97.1507,80.17,84,100,13.89,overcast clouds
436,Asosa,ET,10.0667,34.5333,76.6,37,75,2.98,broken clouds
437,Salo,IT,45.6086,10.531,56.86,62,0,2.13,clear sky
438,Gelibolu,TR,40.4103,26.6708,58.86,71,100,14.79,overcast clouds
439,Mayo,US,38.8876,-76.5119,49.57,60,0,1.01,clear sky
440,Champerico,GT,14.3,-91.9167,75.74,79,75,2.95,broken clouds
441,Nokaneng,BW,-19.6667,22.2667,92.5,27,88,6.55,overcast clouds
442,Biak,ID,-0.9131,122.8766,77.32,81,95,0.36,overcast clouds
443,Yerbogachen,RU,61.2767,108.0108,-6.86,93,100,10.51,light snow
444,Albion,US,42.2431,-84.753,34.61,91,0,0.0,clear sky
445,Ismailia,EG,30.6043,32.2723,75.27,41,40,11.5,scattered clouds
446,Pandan,PH,14.0453,124.1694,80.08,89,67,9.95,broken clouds
447,Rabat,MA,33.9911,-6.8401,71.67,60,40,8.05,scattered clouds
448,Kumo,NG,10.0447,11.2122,93.69,13,5,8.34,clear sky
449,Vuktyl,RU,63.8567,57.3094,-14.8,99,59,1.74,broken clouds
450,Paamiut,GL,61.994,-49.6678,35.42,69,100,12.84,overcast clouds
451,Qasigiannguit,GL,68.8193,-51.1922,6.8,89,89,4.27,overcast clouds
452,Coihaique,CL,-45.5752,-72.0662,59.61,58,75,11.5,broken clouds
453,Nara,JP,34.6851,135.8049,58.5,75,77,9.84,light rain
454,Taunggyi,MM,20.7833,97.0333,59.94,81,34,1.34,scattered clouds
455,Mackay,AU,-21.15,149.2,78.67,86,60,8.25,broken clouds
456,Craig,US,40.5153,-107.5464,17.22,78,0,0.0,clear sky
457,Pertuis,FR,43.6925,5.5028,53.11,76,99,7.52,overcast clouds
458,Herat,AF,34.5,62.0,56.8,23,0,2.37,clear sky
459,Turukhansk,RU,65.8167,87.9833,-25.22,90,100,4.0,overcast clouds
460,Vermilion,US,40.1667,-87.7506,42.93,74,0,4.61,clear sky
461,Salalah,OM,17.0151,54.0924,82.49,61,75,6.91,broken clouds
462,Rincon,US,32.296,-81.2354,57.85,73,100,6.91,overcast clouds
463,Huangchuan,CN,32.1272,115.0394,57.6,76,100,4.36,overcast clouds
464,Tupancireta,BR,-29.0806,-53.8358,70.81,47,3,7.05,clear sky
465,Nador,MA,35.174,-2.9287,73.47,60,20,14.97,few clouds
466,Svetlyy,RU,54.675,20.1347,26.65,91,99,8.52,overcast clouds
467,Padang,ID,-0.9492,100.3543,75.25,87,100,3.13,light rain
468,Lagoa,PT,39.05,-27.9833,60.46,75,100,18.88,overcast clouds
469,Lincoln,US,40.8,-96.667,41.02,92,100,5.01,overcast clouds
470,Lawrenceburg,US,38.0373,-84.8966,38.71,80,0,0.0,clear sky
471,Yhu,PY,-25.05,-55.9167,73.35,52,0,4.7,clear sky
472,Tongliao,CN,43.6125,122.2653,26.13,59,40,5.55,scattered clouds
473,Tatawin,TN,32.9297,10.4518,69.28,34,19,21.85,few clouds
474,Burnie,AU,-41.0667,145.9167,53.94,75,100,13.18,overcast clouds
475,Whitehorse,CA,60.7161,-135.0538,29.17,86,40,18.41,scattered clouds
476,Rawatsar,IN,29.2833,74.3833,69.93,17,0,5.59,clear sky
477,Negombo,LK,7.2083,79.8358,82.45,69,0,4.61,clear sky
478,Marystown,CA,47.1666,-55.1483,37.4,74,100,14.05,overcast clouds
479,Pitanga,BR,-24.7572,-51.7614,73.15,73,69,4.25,broken clouds
480,Mbanza-Ngungu,CD,-5.25,14.8667,79.2,69,84,1.36,light rain
481,Karia,NG,11.7306,11.1629,92.66,11,16,10.27,few clouds
482,Karratha,AU,-20.7377,116.8463,79.14,65,59,11.1,broken clouds
483,Natitingou,BJ,10.3042,1.3796,94.71,12,58,7.58,broken clouds
484,Weihai,CN,37.5017,122.1136,50.49,64,100,5.3,overcast clouds
485,Marsaxlokk,MT,35.8419,14.5431,67.08,68,20,18.41,few clouds
486,Obama,JP,35.4958,135.746,60.96,76,95,18.41,overcast clouds
487,Rumford,US,44.5537,-70.5509,36.43,77,35,3.06,scattered clouds
488,Termoli,IT,41.9888,14.9895,58.78,58,88,8.57,overcast clouds
489,Kirakira,SB,-10.4544,161.9205,79.74,84,12,5.35,few clouds
490,Bezhetsk,RU,57.7851,36.6965,26.15,94,100,9.64,overcast clouds
491,Calama,CL,-22.4667,-68.9333,63.09,17,0,9.22,clear sky
492,Aksu,CN,41.1231,80.2644,39.45,28,4,1.52,clear sky
493,Iwanuma,JP,38.1047,140.8594,46.92,88,100,16.82,moderate rain
494,Kidal,ML,18.4411,1.4078,86.9,9,100,15.14,overcast clouds
495,Huarmey,PE,-10.0681,-78.1522,69.44,77,2,6.82,clear sky
496,Matagami,CA,49.7502,-77.6328,10.51,85,100,0.0,overcast clouds
497,Luderitz,NA,-26.6481,15.1594,69.84,61,0,15.88,clear sky
498,Lata,PT,40.1629,-8.3327,65.07,83,99,8.3,overcast clouds
499,Ilebo,CD,-4.3167,20.5833,88.79,46,57,2.71,broken clouds
500,Yenagoa,NG,4.9247,6.2642,93.18,38,42,3.56,scattered clouds
501,Altayskoye,RU,51.9533,85.3325,5.43,96,100,4.92,overcast clouds
502,Ravar,IR,31.2656,56.8055,59.47,26,0,2.39,clear sky
503,Wamba,NG,8.9333,8.6,94.6,13,90,6.78,overcast clouds
504,Igrim,RU,63.1906,64.4162,-1.01,96,69,5.14,broken clouds
505,Ayna,PE,-12.65,-73.9167,66.96,75,98,3.76,overcast clouds
506,Vestmannaeyjar,IS,63.4427,-20.2734,41.99,70,75,41.43,broken clouds
507,Cocobeach,GA,1.0002,9.5823,81.75,76,33,8.23,light rain
508,Shingu,JP,33.7333,135.9833,59.56,84,17,9.71,few clouds
509,Neiafu,TO,-18.65,-173.9833,77.68,94,40,6.91,scattered clouds
510,Luena,AO,-11.7833,19.9167,79.65,54,46,2.8,light rain
511,Markova,UA,48.6758,24.4138,33.42,97,100,2.55,snow
512,Chor,PK,25.5167,69.7667,76.42,11,2,7.38,clear sky
513,Lima,PE,-12.0432,-77.0282,74.89,67,40,9.22,scattered clouds
514,Havre-Saint-Pierre,CA,50.2334,-63.5986,21.2,93,100,6.91,light snow
515,Yebaishou,CN,41.3975,119.6408,35.37,64,67,3.36,broken clouds
516,Semey,KZ,50.4111,80.2275,-0.18,78,0,8.95,clear sky
517,Mandalgovi,MN,45.7625,106.2708,26.67,58,0,14.7,clear sky
518,Urumqi,CN,43.801,87.6005,31.15,100,100,6.71,fog
519,Wagar,SD,16.1525,36.2032,93.13,17,0,8.72,clear sky
520,Troitsko-Pechorsk,RU,62.7084,56.1964,-13.85,100,11,0.47,few clouds
521,Yuancheng,CN,36.652,107.7896,40.48,79,2,6.26,clear sky
522,Safaga,EG,26.7292,33.9365,77.18,58,0,8.41,clear sky
523,Ibra,OM,22.6906,58.5334,80.22,30,70,6.29,broken clouds
524,Salsk,RU,46.4725,41.5428,46.78,70,5,5.99,clear sky
525,Iqaluit,CA,63.7506,-68.5145,-2.31,84,20,12.66,few clouds
526,Yangcun,CN,39.3639,117.0603,44.58,62,22,4.03,few clouds
527,Angoche,MZ,-16.2325,39.9086,82.49,67,0,13.29,clear sky
528,Shatki,RU,55.1887,44.1249,34.36,100,100,5.88,snow
529,Frutal,BR,-20.0247,-48.9406,78.51,63,100,7.07,overcast clouds
530,Dabat,ET,12.9842,37.765,63.12,36,60,6.78,broken clouds
531,Romny,UA,50.751,33.4747,28.44,87,51,6.96,broken clouds
532,Cairns,AU,-16.9167,145.7667,80.55,79,35,5.75,scattered clouds
533,Kieta,PG,-6.2167,155.6333,78.42,82,5,2.13,light rain
534,Vengerovo,RU,55.6848,76.7471,-8.63,96,6,5.26,clear sky
535,Yarmouth,US,41.7057,-70.2286,49.96,61,20,15.99,few clouds
536,Igarka,RU,67.4667,86.5833,-17.88,98,99,5.03,overcast clouds
537,Chapais,CA,49.7834,-74.8492,10.18,95,97,2.3,overcast clouds
538,Marondera,ZW,-18.1853,31.5519,65.8,75,100,1.66,moderate rain
539,Quartucciu,IT,39.2519,9.1794,64.65,76,40,10.36,scattered clouds
540,Pimenteiras,BR,-6.2453,-41.4192,95.2,29,29,7.18,scattered clouds
541,Uray,RU,60.1247,64.7758,-3.03,94,5,5.61,clear sky
542,Bissau,GW,11.8636,-15.5977,89.71,29,2,11.5,clear sky
543,Sibolga,ID,1.7427,98.7792,75.88,89,81,1.7,broken clouds
544,Iskateley,RU,67.6803,53.1512,22.64,98,100,6.58,overcast clouds
545,Beloha,MG,-25.1667,45.05,78.93,65,0,20.76,clear sky
546,Kimbe,PG,-5.5502,150.1429,75.94,91,55,3.69,light rain
547,Luancheng,CN,37.8792,114.6517,48.36,62,4,6.58,clear sky
548,Avera,US,33.194,-82.5271,53.11,47,89,7.43,overcast clouds
549,Sisimiut,GL,66.9395,-53.6735,16.39,89,91,8.52,overcast clouds
550,Ketchikan,US,55.3422,-131.6461,45.07,93,100,16.11,overcast clouds
551,Ritchie,ZA,-29.038,24.6028,87.01,14,0,13.96,clear sky
552,Patacamaya,BO,-17.2333,-67.9167,53.01,51,93,6.24,overcast clouds
553,Umba,RU,66.6871,34.3429,29.26,96,100,4.41,overcast clouds
554,Ahuimanu,US,21.4447,-157.8378,74.91,78,20,4.61,few clouds
555,Estelle,US,29.8458,-90.1067,57.0,78,40,6.91,scattered clouds
556,Minbu,MM,20.1833,94.8833,75.58,61,6,2.75,clear sky
557,Miyako,JP,39.6367,141.9525,49.41,86,100,7.09,light rain
558,Bambanglipuro,ID,-7.95,110.2833,77.63,88,100,1.63,light rain
559,Axim,GH,4.8699,-2.2405,83.37,71,81,10.58,light rain
560,Lovozero,RU,68.005,35.0117,25.25,96,100,1.36,overcast clouds
561,Arshan,RU,46.2732,44.22,44.98,65,0,11.18,clear sky
